id;Dataset;normalize;meka;weka;F1 (macro averaged by label);Model Size
68;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 63 -X -I;0.6483000000000005;1494241.357898459
69;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 58 -K 0 -depth 0 -N 0;0.5625900000000003;13333.70914915436
70;emotions;True;meka.classifiers.multilabel.BPNN -E 343 -H 23 -r 0.049 -m 0.2;;0.5622800000000003;38967.00000000066
71;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 63 -X -I;0.6483000000000005;1494241.357898459
72;emotions;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.PART -- -M 21 -B;0.593419999999999;37124.62259010801
73;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
74;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 4;0.48706000000000005;12743.86413646515
75;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
76;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
77;emotions;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.PART -- -M 21 -B;0.593419999999999;37124.62259010801
78;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
79;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
80;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1e-11;0.6129999999999997;114891.00000000121
81;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
82;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -F;0.6479300000000009;1494227.1936163637
83;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 63 -X -I;0.6483000000000005;1494241.357898459
84;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 6 -X;0.6367700000000008;1493198.1592483136
85;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1e-11;0.6129999999999997;114891.00000000121
86;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 6 -X -I;0.6380300000000007;1493221.918600885
87;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1e-11;0.6129999999999997;114891.00000000121
88;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 4;0.48706000000000005;12743.86413646515
89;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
90;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 63 -X -F;0.6461700000000009;1494256.2371540503
91;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
92;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 4;0.48706000000000005;12743.86413646515
93;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1e-11;0.6129999999999997;114891.00000000121
94;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.TAN;0.5968399999999996;238108.60291413355
95;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
96;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
97;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
98;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.TAN;0.5968399999999996;238108.60291413355
99;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
100;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 4;0.48706000000000005;12743.86413646515
id;Dataset;normalize;meka;weka;F1 (macro averaged by label);Model Size
1;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 31 -K 0 -depth 2;0.5980099999999993;417482.22147020703
2;emotions;False;meka.classifiers.multilabel.CT -X L -Iy 51 -Is 642 -P 'Macro Precision' -H 1;weka.classifiers.trees.LMT -- -M 40 -B -P -W 0.32;0.5721699999999997;204244.09867606545
3;emotions;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.JRip -- -N 3.9 -E -P -O 1;0.5481799999999992;74038.60748757776
4;emotions;False;meka.classifiers.multilabel.PMCC -Iy 99 -Is 233 -B 0.34 -O 1 -M 42 -P 'Avg precision';weka.classifiers.functions.Logistic -- -R 1e-07;0.590595;5234198.60119336
